"포지션","이름","나이","경기","타석","파크팩터","WAR ↓","WPA","wRC+","wOBA","OBP","SLG","OPS","AVG"
"1루수","디아즈","28","144","628","106.1","7.0","5.08","159",".440",".381",".644","1.025",".314"
"좌익수","구자욱","31","142","616","105.7","5.4","3.42","142",".412",".402",".516",".918",".319"
"우익수","김성윤","25","127","538","106.5","4.9","3.02","142",".414",".419",".474",".893",".331"
"유격수","이재현","21","139","555","105.8","2.7","0.94","111",".364",".360",".427",".787",".254"
"3루수","김영웅","21","125","499","105.9","1.8","-1.05","102",".350",".323",".455",".778",".249"
"포수","강민호","39","127","465","106.0","1.4","-1.53","97",".343",".336",".417",".753",".269"
"중견수","박승규","24","64","200","105.6","1.0","-0.18","118",".374",".377",".420",".797",".287"
"중견수","김지찬","23","90","373","105.5","1.0","-1.04","91",".333",".364",".322",".686",".281"
"1루수","박병호","38","77","232","106.5","0.8","-0.72","101",".350",".315",".454",".769",".199"
"2루수","류지혁","30","129","464","105.9","0.6","-0.86","86",".325",".351",".323",".674",".280"
"3루수","전병우","32","59","97","106.9","0.6","0.08","120",".380",".423",".338",".761",".273"
"우익수","이성규","31","68","154","106.4","0.4","-0.65","95",".340",".327",".397",".724",".198"
"좌익수","김태근","28","11","14","107.6","0.1","-0.10","117",".377",".429",".333",".762",".333"
"1루수","이창용","25","11","17","106.1","0.1","0.08","97",".342",".294",".467",".761",".200"
"2루수","양도근","21","116","198","106.0","0.0","0.28","74",".307",".337",".289",".626",".259"
"지명타자","김호진","19","1","0","-","0.0","-","-","-","-","-","-","-"
"포수","김도환","24","6","14","112.0","-0.0","-0.12","62",".293",".286",".357",".643",".286"
"포수","박진우","21","1","1","105.3","-0.0","0.00","-124",".000",".000",".000",".000",".000"
"지명타자","차승준","18","1","1","96.4","-0.0","-0.00","-136",".000",".000",".000",".000",".000"
"2루수","안주형","31","8","18","105.9","-0.0","-0.01","77",".312",".278",".412",".690",".235"
"중견수","김재혁","25","8","4","107.2","-0.0","-0.00","0",".192",".250",".000",".250",".000"
"유격수","이해승","24","8","5","105.5","-0.0","-0.07","-3",".187",".200",".200",".400",".200"
"좌익수","함수호","18","6","14","106.3","-0.1","-0.13","5",".200",".214",".214",".428",".214"
"2루수","양우현","24","14","16","106.2","-0.1","0.16","3",".197",".188",".250",".438",".188"
"포수","이병헌","25","55","59","106.0","-0.2","-0.34","46",".264",".254",".309",".563",".200"
"2루수","심재훈","18","31","43","106.6","-0.3","-0.30","24",".229",".262",".184",".446",".184"
"중견수","홍현빈","27","32","38","107.7","-0.3","-0.29","11",".209",".222",".188",".410",".125"
"좌익수","김태훈","28","51","98","104.9","-0.3","0.28","48",".265",".260",".312",".572",".237"
"우익수","윤정빈","25","25","46","109.0","-0.3","-0.29","16",".217",".239",".200",".439",".175"
"우익수","김헌곤","36","77","191","106.6","-0.5","-1.04","54",".277",".286",".295",".581",".225"
"포수","김재성","28","43","73","104.7","-0.7","-0.36","5",".200",".222",".159",".381",".127"
