"이름","나이","투구","보직","경기","이닝","파크팩터","K/9","BB/9","K/BB","HR/9","FIP","FIP-","fWAR ↓","ERA","ERA-","RA9","RA9-","rWAR"
"후라도","29","R","선발","30","197.1","107.4","6.48","1.64","3.94","0.78","3.73","80","4.0","2.60","56","2.96","58","6.0"
"원태인","25","R","선발","27","166.2","105.3","5.83","1.46","4.00","1.08","4.30","95","2.3","3.24","71","3.56","71","3.9"
"가라비토","30","R","선발","15","78.1","105.4","9.65","4.25","2.27","0.69","3.94","87","1.4","2.64","58","3.56","70","1.8"
"최원태","28","R","선발","27","124.1","105.6","7.89","3.69","2.14","0.94","4.57","100","1.3","4.92","108","5.21","103","0.7"
"이승현","23","L","선발","25","101.1","107.9","6.57","4.09","1.61","0.89","4.89","105","0.9","5.42","116","5.68","110","0.2"
"양창섭","26","R","스윙","33","63.0","107.0","6.43","2.71","2.37","0.43","3.97","86","0.9","3.43","74","4.14","81","1.1"
"김태훈","33","R","셋업","73","66.1","107.7","10.04","3.53","2.85","1.09","4.04","87","0.8","4.48","96","4.61","89","0.9"
"백정현","38","L","셋업","29","32.1","106.1","8.63","1.95","4.43","0.28","2.76","60","0.8","1.95","43","1.95","38","1.3"
"레예스","29","R","선발","10","50.0","104.2","6.30","2.16","2.92","0.90","4.24","94","0.7","4.14","92","4.68","94","0.5"
"이승민","25","L","스윙","62","64.1","107.2","7.41","3.64","2.04","0.70","4.16","90","0.7","3.78","82","5.18","101","0.5"
"배찬승","19","L","셋업","65","50.2","107.4","10.13","6.04","1.68","0.53","4.09","88","0.6","3.91","84","4.44","86","0.8"
"이호성","21","R","셋업","58","55.1","106.6","11.22","4.72","2.38","1.14","4.27","93","0.5","6.34","138","7.16","140","-0.8"
"김재윤","35","R","스윙","63","57.2","106.2","6.71","2.03","3.31","1.56","4.93","108","0.1","4.99","109","5.31","104","0.3"
"이승현","34","R","셋업","42","35.2","108.7","7.32","2.78","2.64","2.27","6.11","130","-0.3","6.31","134","6.56","126","-0.2"
"정민성","20","R","선발","1","1.0","113.0","0.00","0.00","-","0.00","9.44","193","-","36.00","737","36.00","663","-"
"육선엽","20","R","-","27","28.2","106.3","5.97","7.53","0.79","1.26","6.44","140","-","5.34","116","6.59","129","-"
"김대호","24","R","-","11","21.0","110.8","8.14","6.43","1.27","1.29","5.77","121","-","5.14","107","5.57","105","-"
"황동재","24","R","-","15","20.2","110.0","9.58","6.10","1.57","0.44","4.26","90","-","6.97","147","6.97","132","-"
"임창민","40","R","-","16","13.0","108.6","4.15","4.85","0.86","3.46","9.36","200","-","4.85","103","5.54","106","-"
"오승환","43","R","-","12","9.0","107.5","7.00","3.00","2.33","1.00","4.33","93","-","8.00","172","8.00","155","-"
"이재희","24","R","-","11","9.0","105.9","9.00","5.00","1.80","0.00","3.11","68","-","3.00","66","3.00","59","-"
"이재익","31","L","-","7","7.1","103.6","7.36","2.45","3.00","0.00","2.62","59","-","1.23","27","1.23","25","-"
"송은범","41","R","-","5","6.0","112.7","3.00","4.50","0.67","0.00","4.27","88","-","4.50","92","4.50","83","-"
"양현","33","RS","-","4","3.1","95.4","2.70","8.10","0.33","0.00","5.54","134","-","0.00","0","0.00","0","-"
"홍원표","24","R","-","2","2.0","104.8","4.50","9.00","0.50","0.00","6.94","153","-","4.50","99","4.50","89","-"
"최충연","28","R","-","4","1.2","103.7","5.40","10.80","0.50","5.40","15.44","345","-","37.80","844","43.20","868","-"
"이상민","35","L","-","1","1.0","105.9","9.00","0.00","-","0.00","1.44","32","-","0.00","0","0.00","0","-"
"최성훈","36","L","-","2","1.0","113.0","9.00","9.00","1.00","0.00","4.44","91","-","9.00","184","9.00","166","-"
"김대우","37","RS","-","2","0.2","107.3","0.00","0.00","-","0.00","3.44","74","-","0.00","0","0.00","0","-"
